cont,providername,providerid,region,period,usagecategory,product,productdetail,cost,tag:user:name
25,cropwise-databus-prod,5.69741E+11,us-east-2,202212,Requests-Tier1,SQS: Messaging,SQS: Messaging,1.025454,prod-ingestor-groguru
26,cropwise-databus-prod,5.69741E+11,us-east-2,202206,RDS:ProxyUsage,RDS: All,RDS: All,172.8,prod-valet-analytics
27,cropwise-databus-prod,5.69741E+11,us-east-2,202305,TimedStorage-ByteHrs,CloudWatch,CloudWatch,0.001262205,prod-ingestor-cost-metering
28,cropwise-databus-prod,5.69741E+11,us-east-2,202302,Requests,S3,S3,0.0813912,prod-scheduled-tasks
29,cropwise-databus-prod,5.69741E+11,us-east-2,202212,Requests-Tier1,SQS: Messaging,SQS: Messaging,1.259918,prod-ingestor
30,cropwise-databus-prod,5.69741E+11,us-east-2,202207,Requests-Tier1,SQS: Messaging,SQS: Messaging,3.3121636,prod-ingestor-cropwise
31,cropwise-databus-prod,5.69741E+11,us-west-2,202212,FreeEventsRecorded,CloudTrail,CloudTrail,0,
32,cropwise-databus-prod,5.69741E+11,us-east-2,202212,Requests,S3,S3,4.1874576,prod-ingestor-arable
33,cropwise-databus-prod,5.69741E+11,us-east-2,202211,TimedStorage-ByteHrs,CloudWatch,CloudWatch,0.00242603,prod-ingestor-sencrop
34,cropwise-databus-prod,5.69741E+11,us-east-2,202303,RDS:GP2-Storage,RDS: All,RDS: Storage,11.50000004,prod-rds-cropwise-observations
35,cropwise-databus-prod,5.69741E+11,us-east-2,202303,DataProcessing-Bytes,CloudWatch,CloudWatch,3.9340306,prod-ingestor-pessl
36,cropwise-databus-prod,5.69741E+11,us-east-2,202303,NatGateway,EC2: All,EC2: All,66.96,prod-valet
37,cropwise-databus-prod,5.69741E+11,us-east-2,202204,NatGateway,EC2: All,EC2: All,64.8,prod-valet
38,cropwise-databus-prod,5.69741E+11,us-east-2,202302,Write Capacity Units,DynamoDB,DynamoDB,32.14611375,prod-valet
39,cropwise-databus-prod,5.69741E+11,ap-south-1,202303,FreeEventsRecorded,CloudTrail,CloudTrail,0,
40,cropwise-databus-prod,5.69741E+11,us-east-2,202206,Requests,Lambda: All,Lambda: All,1.1781124,prod-valet-observations
41,cropwise-databus-prod,5.69741E+11,us-east-2,202212,Requests,Lambda: All,Lambda: All,0.1520206,prod-ingestor-pessl
42,cropwise-databus-prod,5.69741E+11,us-east-2,202207,Compute,Lambda: All,Lambda: All,6.070313645,prod-api-auth
43,cropwise-databus-prod,5.69741E+11,us-east-2,202210,Requests-Tier1,SQS: Messaging,SQS: Messaging,1.0257032,prod-ingestor-groguru
44,cropwise-databus-prod,5.69741E+11,us-east-1,202303,Requests,S3,S3,3.24E-05,prod-valet
45,cropwise-databus-prod,5.69741E+11,us-east-2,202204,Compute,Lambda: All,Lambda: All,46.06395364,prod-valet
46,cropwise-databus-prod,5.69741E+11,ap-northeast-1,202210,FreeEventsRecorded,CloudTrail,CloudTrail,0,
47,cropwise-databus-prod,5.69741E+11,us-east-2,202303,Data Transfer - Region to Region,Elastic Search,Data Transfer,0.048567278,prod-valet
48,cropwise-databus-prod,5.69741E+11,us-east-2,202303,Compute,Lambda: All,Lambda: All,0.022947125,prod-ingestor-cost-metering
49,cropwise-databus-prod,5.69741E+11,us-east-2,202207,Data Transfer - Internet (Out),Elastic Search,Data Transfer,0.007157126,prod-valet
50,cropwise-databus-prod,5.69741E+11,us-east-2,202205,Lambda-Provisioned-Concurrency,Lambda: All,Lambda: All,1031.111798,prod-ingestor-arable
51,cropwise-databus-prod,5.69741E+11,us-east-2,202205,Requests,Lambda: All,Lambda: All,1.0514092,prod-valet-observations
52,cropwise-databus-prod,5.69741E+11,us-east-2,202210,Requests-Tier1,SQS: Messaging,SQS: Messaging,0.3436324,prod-scheduled-tasks
53,cropwise-databus-prod,5.69741E+11,us-east-2,202205,DeliveryAttempts-SQS,SNS: Notifications,SNS: Notifications,0,prod-ingestor
54,cropwise-databus-prod,5.69741E+11,us-east-2,202209,Data Transfer - Region to Region (In),EC2: All,Data Transfer,0.119956755,prod-valet
55,cropwise-databus-prod,5.69741E+11,us-east-2,202209,Requests,S3,S3,14.6903882,prod-ingestor
56,cropwise-databus-prod,5.69741E+11,us-east-2,202208,DataProcessing-Bytes,CloudWatch,CloudWatch,0.474639555,prod-valet-observations
57,cropwise-databus-prod,5.69741E+11,us-east-2,202206,AWSSecretsManagerAPIRequest,Secrets Manager,Secrets Manager,0.39746,prod-valet-analytics
58,cropwise-databus-prod,5.69741E+11,us-east-2,202208,NatGateway,EC2: All,EC2: All,66.96,prod-ingestor
59,cropwise-databus-prod,5.69741E+11,us-east-2,202206,Requests,Lambda: All,Lambda: All,1.2571542,prod-ingestor-sencrop
60,cropwise-databus-prod,5.69741E+11,us-east-2,202208,Data Transfer - Internet (Out),EC2: All,Data Transfer,2.14E-05,prod-valet-analytics
61,cropwise-databus-prod,5.69741E+11,us-east-2,202209,Data Transfer - Region to Region (In),Elastic Search,Data Transfer,0,prod-valet
62,cropwise-databus-prod,5.69741E+11,us-east-2,202211,Data Transfer - Inter AZ (Out),EC2: All,Data Transfer,15.30303238,
63,cropwise-databus-prod,5.69741E+11,sa-east-1,202209,FreeEventsRecorded,CloudTrail,CloudTrail,0,
64,cropwise-databus-prod,5.69741E+11,[Global],202212,DashboardsUsageHour,CloudWatch,CloudWatch,2.98387092,
65,cropwise-databus-prod,5.69741E+11,eu-north-1,202207,FreeEventsRecorded,CloudTrail,CloudTrail,0,
66,cropwise-databus-prod,5.69741E+11,us-east-2,202212,Data Transfer - Internet (Out),SNS: Notifications,Data Transfer,2.001894643,prod-ingestor
67,cropwise-databus-prod,5.69741E+11,us-east-2,202211,DeliveryAttempts-SQS,SNS: Notifications,SNS: Notifications,0,prod-valet-observations
68,cropwise-databus-prod,5.69741E+11,us-east-2,202302,Storage,DynamoDB,DynamoDB,642.4632697,prod-valet-observations
69,cropwise-databus-prod,5.69741E+11,ap-southeast-2,202305,CW:Requests,CloudWatch,CloudWatch,0.01476,
70,cropwise-databus-prod,5.69741E+11,us-east-2,202304,Data Transfer - Internet (Out),SNS: Notifications,Data Transfer,0.398189988,prod-valet-observations
71,cropwise-databus-prod,5.69741E+11,us-east-2,202305,Requests,Lambda: All,Lambda: All,1.606841,prod-ingestor-sencrop
72,cropwise-databus-prod,5.69741E+11,us-east-2,202304,Kafka.m5.large,Streaming for Kafka,Streaming for Kafka,453.6,prod-cropwise-observations-msk
73,cropwise-databus-prod,5.69741E+11,us-east-2,202304,Requests,S3,S3,3.7262036,prod-cropwise-observations
74,cropwise-databus-prod,5.69741E+11,us-east-2,202305,Compute,Lambda: All,Lambda: All,58.46922669,prod-ingestor-cropwise
75,cropwise-databus-prod,5.69741E+11,us-east-2,202305,PaidS3DataEventsAnalyzed,Guard Duty,Guard Duty,22.0400528,
76,cropwise-databus-prod,5.69741E+11,us-east-2,202304,DataProcessing-Bytes,Elastic Load Balancer: All,Elastic Load Balancer: All,3.410104607,
77,cropwise-databus-prod,5.69741E+11,us-east-2,202304,Compute,Lambda: All,Lambda: All,98.63749097,prod-ingestor-john-deere
78,cropwise-databus-prod,5.69741E+11,us-east-2,202304,CW:GMD-Metrics,CloudWatch,CloudWatch,0.86497,
79,cropwise-databus-prod,5.69741E+11,us-east-1,202304,Requests,S3,S3,0.0016798,
80,cropwise-databus-prod,5.69741E+11,Europe,202305,Requests,CloudFront: CDN,CloudFront: CDN,0,
81,cropwise-databus-prod,5.69741E+11,us-east-2,202304,Storage,S3,S3,0.013006958,prod-infra-efs
82,cropwise-databus-prod,5.69741E+11,us-east-2,202304,DataProcessing-Bytes,CloudWatch,CloudWatch,3.821773437,prod-ingestor-john-deere
83,cropwise-databus-prod,5.69741E+11,us-east-2,202305,Compute,Lambda: All,Lambda: All,2.303567267,prod-ingestor-cnh
84,cropwise-databus-prod,5.69741E+11,us-east-2,202302,Data Transfer - Region to Region (In),Elastic Search,Data Transfer,0,prod-valet
85,cropwise-databus-prod,5.69741E+11,us-east-2,202301,RDS:GP2-Storage,RDS: All,RDS: Storage,11.50000004,prod-rds-cropwise-observations
86,cropwise-databus-prod,5.69741E+11,us-east-2,202302,Requests-Tier1,SQS: Messaging,SQS: Messaging,4.4390392,prod-valet-observations
87,cropwise-databus-prod,5.69741E+11,us-east-2,202303,Requests-Tier1,SQS: Messaging,SQS: Messaging,1.8324604,prod-ingestor-arable
88,cropwise-databus-prod,5.69741E+11,us-east-2,202302,Requests,Lambda: All,Lambda: All,2.9398304,prod-valet
89,cropwise-databus-prod,5.69741E+11,us-east-2,202302,Requests-Tier1,SQS: Messaging,SQS: Messaging,0.9442992,prod-ingestor
90,cropwise-databus-prod,5.69741E+11,us-east-2,202303,us-east-2-KMS-Keys,Key Management,Key Management,0.998655898,prod-valet
91,cropwise-databus-prod,5.69741E+11,us-east-2,202301,Requests-FIFO-Tier1,SQS: Messaging,SQS: Messaging,0.161504,prod-valet
92,cropwise-databus-prod,5.69741E+11,us-east-2,202305,DataProcessing-Bytes,CloudWatch,CloudWatch,0.56348698,prod-ingestor-cropwise
93,cropwise-databus-prod,5.69741E+11,us-east-2,202211,Requests,Lambda: All,Lambda: All,0.0510168,prod-valet-analytics
94,cropwise-databus-prod,5.69741E+11,us-east-2,202209,Requests-Tier1,SQS: Messaging,SQS: Messaging,1.9280272,prod-valet
95,cropwise-databus-prod,5.69741E+11,us-east-2,202302,Data Transfer - Region to Region (In),S3,Data Transfer,0,
96,cropwise-databus-prod,5.69741E+11,us-east-2,202302,Data Transfer - Internet (Out),API Gateway,Data Transfer,5.430920253,prod-valet
97,cropwise-databus-prod,5.69741E+11,us-east-2,202210,Requests-Tier1,SQS: Messaging,SQS: Messaging,7.6902092,prod-ingestor-sencrop
98,cropwise-databus-prod,5.69741E+11,us-east-2,202207,DeliveryAttempts-SQS,SNS: Notifications,SNS: Notifications,0,prod-ingestor
99,cropwise-databus-prod,5.69741E+11,us-east-2,202303,Data Transfer - Region to Region (In),EC2: All,Data Transfer,0.121827426,prod-cropwise-observations-cfstack
100,cropwise-databus-prod,5.69741E+11,us-east-2,202211,Data Transfer - Internet (Out),API Gateway,Data Transfer,0.009576495,prod-valet-analytics
101,cropwise-databus-prod,5.69741E+11,us-east-2,202210,Data Transfer - Region to Region (In),Elastic Search,Data Transfer,0,prod-valet
102,cropwise-databus-prod,5.69741E+11,us-east-2,202207,Requests,S3,S3,5.5341836,prod-ingestor-arable
103,cropwise-databus-prod,5.69741E+11,us-east-2,202303,ApiGatewayRequest,API Gateway,API Gateway,0.002149,prod-isoxml-prescription-converter
104,cropwise-databus-prod,5.69741E+11,us-east-2,202207,Requests-Tier1,SQS: Messaging,SQS: Messaging,2.5062904,prod-ingestor-arable
105,cropwise-databus-prod,5.69741E+11,us-east-2,202302,LoadBalancerUsage,Elastic Load Balancer: All,Elastic Load Balancer: All,33.025,
106,cropwise-databus-prod,5.69741E+11,us-east-2,202206,Data Transfer - Internet (Out),API Gateway,Data Transfer,1.485688132,prod-valet-observations
107,cropwise-databus-prod,5.69741E+11,us-east-2,202204,Data Transfer - Internet (In),RDS: All,Data Transfer,0,prod-valet-analytics
108,cropwise-databus-prod,5.69741E+11,ap-southeast-2,202303,FreeEventsRecorded,CloudTrail,CloudTrail,0,
109,cropwise-databus-prod,5.69741E+11,us-east-2,202303,Data Transfer - Region to Region (In),EC2: All,Data Transfer,0.014123686,prod-ingestor
110,cropwise-databus-prod,5.69741E+11,us-east-2,202206,DataProcessing-Bytes,CloudWatch,CloudWatch,3.169647679,prod-ingestor-arable
111,cropwise-databus-prod,5.69741E+11,us-east-2,202303,Data Transfer - Internet (Out),S3,Data Transfer,0.089794705,prod-ingestor
112,cropwise-databus-prod,5.69741E+11,us-east-2,202210,Requests,S3,S3,61.1117822,prod-ingestor-sencrop
113,cropwise-databus-prod,5.69741E+11,eu-west-2,202209,FreeEventsRecorded,CloudTrail,CloudTrail,0,
114,cropwise-databus-prod,5.69741E+11,us-east-2,202205,Data Transfer - Region to Region (Out),EC2: All,Data Transfer,4.86320686,prod-ingestor
115,cropwise-databus-prod,5.69741E+11,us-east-2,202202,Storage,Elastic File System,Elastic File System,3.209823365,prod-ingestor
116,cropwise-databus-prod,5.69741E+11,us-east-2,202208,Data Transfer - Internet (In),EC2: All,Data Transfer,0,prod-valet
117,cropwise-databus-prod,5.69741E+11,us-east-2,202202,FreeEventsRecorded,CloudTrail,CloudTrail,0,
118,cropwise-databus-prod,5.69741E+11,us-east-2,202211,Requests,Lambda: All,Lambda: All,0.398321,prod-api-auth
119,cropwise-databus-prod,5.69741E+11,us-east-2,202206,Storage,DynamoDB,DynamoDB,1062.41056,prod-valet-observations
120,cropwise-databus-prod,5.69741E+11,us-east-2,202211,DataProcessing-Bytes,Elastic Load Balancer: All,Elastic Load Balancer: All,0.002572519,
121,cropwise-databus-prod,5.69741E+11,us-east-2,202204,Data Transfer - Region to Region (In),EC2: All,Data Transfer,0.067359725,prod-ingestor
122,cropwise-databus-prod,5.69741E+11,us-east-2,202211,Storage,DynamoDB,DynamoDB,0.236659434,prod-valet
123,cropwise-databus-prod,5.69741E+11,us-east-2,202204,us-east-2-KMS-Keys,Key Management,Key Management,0.998611119,prod-valet
124,cropwise-databus-prod,5.69741E+11,us-east-2,202205,Requests-Tier1,SQS: Messaging,SQS: Messaging,6.9149788,prod-valet-observations
125,cropwise-databus-prod,5.69741E+11,us-east-2,202210,Requests-Tier1,SQS: Messaging,SQS: Messaging,7.5791692,prod-valet-observations
126,cropwise-databus-prod,5.69741E+11,us-east-2,202208,Requests,Lambda: All,Lambda: All,0.1192776,prod-ingestor-arable
127,cropwise-databus-prod,5.69741E+11,us-east-2,202209,DataProcessing-Bytes,CloudWatch,CloudWatch,0.29163453,prod-valet-observations
128,cropwise-databus-prod,5.69741E+11,eu-central-1,202305,Event-64K-Chunks,CloudWatch Events,CloudWatch Events,3.00E-06,
129,cropwise-databus-prod,5.69741E+11,us-east-2,202212,Data Transfer - Inter AZ (Out),EC2: All,Data Transfer,0.576186694,prod-cropwise-observations-cfstack
130,cropwise-databus-prod,5.69741E+11,us-east-2,202209,Data Transfer - Region to Region (Out),EC2: All,Data Transfer,0.348495941,prod-valet
131,cropwise-databus-prod,5.69741E+11,us-east-2,202205,Data Transfer - Region to Region (In),S3,Data Transfer,0,
132,cropwise-databus-prod,5.69741E+11,eu-north-1,202201,FreeEventsRecorded,CloudTrail,CloudTrail,0,
133,cropwise-databus-prod,5.69741E+11,us-east-2,202205,DataProcessing-Bytes,CloudWatch,CloudWatch,3.449843776,prod-ingestor-arable
134,cropwise-databus-prod,5.69741E+11,us-east-2,202207,PaidEventsRecorded,CloudTrail,CloudTrail,12.61754,
135,cropwise-databus-prod,5.69741E+11,us-east-2,202212,Requests,S3,S3,0.4832726,
136,cropwise-databus-prod,5.69741E+11,us-east-2,202206,NatGateway,EC2: All,Data Transfer,5.999397034,prod-valet
137,cropwise-databus-prod,5.69741E+11,us-east-2,202206,Requests,S3,S3,15.7098748,prod-ingestor-pessl
138,cropwise-databus-prod,5.69741E+11,ca-central-1,202201,FreeEventsRecorded,CloudTrail,CloudTrail,0,
139,cropwise-databus-prod,5.69741E+11,us-east-2,202208,Data Transfer - Region to Region (Out),Elastic Search,Data Transfer,0.000195626,prod-valet
140,cropwise-databus-prod,5.69741E+11,us-east-2,202212,Requests-Tier1,SNS: Notifications,SNS: Notifications,2.55E-05,prod-valet
141,cropwise-databus-prod,5.69741E+11,us-east-2,202206,DataProcessing-Bytes,CloudWatch,CloudWatch,1.515518399,prod-ingestor-cropwise
142,cropwise-databus-prod,5.69741E+11,us-east-2,202204,Data Transfer - Internet (In),EC2: All,Data Transfer,0,prod-valet-analytics
143,cropwise-databus-prod,5.69741E+11,us-east-2,202206,Data Transfer - Internet (In),RDS: All,Data Transfer,0,prod-valet-analytics
144,cropwise-databus-prod,5.69741E+11,us-west-1,202203,FreeEventsRecorded,CloudTrail,CloudTrail,0,
145,cropwise-databus-prod,5.69741E+11,us-east-2,202201,Data Transfer - Region to Region (Out),S3,Data Transfer,1.07E-06,
146,cropwise-databus-prod,5.69741E+11,us-east-2,202210,Requests,S3,S3,4.7953834,prod-ingestor-arable
147,cropwise-databus-prod,5.69741E+11,us-east-2,202205,RDS:ProxyUsage,RDS: All,RDS: All,178.56,prod-valet-analytics
148,cropwise-databus-prod,5.69741E+11,us-east-2,202212,Storage,S3,S3,0.032642064,prod-cropwise-observations
149,cropwise-databus-prod,5.69741E+11,us-east-2,202201,NatGateway,EC2: All,EC2: All,66.96,prod-ingestor
150,cropwise-databus-prod,5.69741E+11,us-east-2,202210,Requests-Tier1,SNS: Notifications,SNS: Notifications,6.28913,prod-valet-observations
151,cropwise-databus-prod,5.69741E+11,sa-east-1,202203,FreeEventsRecorded,CloudTrail,CloudTrail,0,
152,cropwise-databus-prod,5.69741E+11,us-east-2,202202,Data Transfer - Region to Region (Out),Lambda: All,Data Transfer,0.004771699,
153,cropwise-databus-prod,5.69741E+11,eu-central-1,202207,FreeEventsRecorded,CloudTrail,CloudTrail,0,
154,cropwise-databus-prod,5.69741E+11,us-east-2,202205,DeliveryAttempts-SQS,SNS: Notifications,SNS: Notifications,0,prod-valet-observations
155,cropwise-databus-prod,5.69741E+11,us-east-2,202206,Read Capacity Units,DynamoDB,DynamoDB,0.7236835,prod-valet-observations
156,cropwise-databus-prod,5.69741E+11,us-east-2,202208,Requests,Lambda: All,Lambda: All,0.0867442,prod-ingestor-cropwise
157,cropwise-databus-prod,5.69741E+11,us-east-2,202204,ApiGatewayRequest,API Gateway,API Gateway,0.3536015,prod-valet-observations
158,cropwise-databus-prod,5.69741E+11,us-east-2,202208,Aurora:ServerlessV2Usage,RDS: All,RDS: All,1735.495733,
159,cropwise-databus-prod,5.69741E+11,us-east-2,202203,TimedStorage-ByteHrs,CloudWatch,CloudWatch,1.35E-05,prod-valet
160,cropwise-databus-prod,5.69741E+11,us-east-2,202201,Data Transfer - CloudFront - Out,EC2: All,Data Transfer,0,prod-ingestor
161,cropwise-databus-prod,5.69741E+11,us-east-2,202209,ES:GP2-Storage,Elastic Search,Elastic Search,67.5,prod-valet
162,cropwise-databus-prod,5.69741E+11,us-east-2,202208,WarmStorage-ByteHrs-EFS,AWS Backup,AWS Backup,37.52103353,prod-ingestor
163,cropwise-databus-prod,5.69741E+11,eu-central-1,202305,TimedStorage-ByteHrs,CloudWatch,CloudWatch,1.63E-07,
164,cropwise-databus-prod,5.69741E+11,us-east-2,202203,ES:GP2-Storage,Elastic Search,Elastic Search,67.50000004,prod-valet
165,cropwise-databus-prod,5.69741E+11,ap-northeast-3,202210,InsightsEvents,CloudTrail,CloudTrail,0.000567,
166,cropwise-databus-prod,5.69741E+11,us-east-2,202206,Data Transfer - Region to Region (Out),S3,Data Transfer,2.11E-07,prod-valet
167,cropwise-databus-prod,5.69741E+11,us-east-2,202302,TimedStorage-ByteHrs,CloudWatch,CloudWatch,21.31175289,
168,cropwise-databus-prod,5.69741E+11,us-east-2,202303,DataProcessing-Bytes,CloudWatch,CloudWatch,12.54209454,prod-ingestor-trapview
169,cropwise-databus-prod,5.69741E+11,us-east-2,202207,DataProcessing-Bytes,CloudWatch,CloudWatch,0.558095806,prod-valet
170,cropwise-databus-prod,5.69741E+11,us-east-2,202203,Data Transfer - Internet (Out),API Gateway,Data Transfer,0.982783513,prod-valet
171,cropwise-databus-prod,5.69741E+11,us-east-2,202205,Data Transfer,VPC,Data Transfer,0,
172,cropwise-databus-prod,5.69741E+11,us-east-2,202210,Write Capacity Units,DynamoDB,DynamoDB,8.2783525,prod-valet
173,cropwise-databus-prod,5.69741E+11,us-east-2,202206,NatGateway,EC2: All,Data Transfer,339.8221772,prod-valet-analytics
174,cropwise-databus-prod,5.69741E+11,us-east-2,202208,Requests,Lambda: All,Lambda: All,0.0065796,prod-ingestor-cnh
175,cropwise-databus-prod,5.69741E+11,eu-west-2,202208,PaidEventsRecorded,CloudTrail,CloudTrail,0.01666,
176,cropwise-databus-prod,5.69741E+11,us-east-2,202202,CW:MetricMonitorUsage,CloudWatch,CloudWatch,4.199107151,
177,cropwise-databus-prod,5.69741E+11,ap-southeast-1,202207,PaidEventsRecorded,CloudTrail,CloudTrail,0.01432,
178,cropwise-databus-prod,5.69741E+11,sa-east-1,202209,PaidEventsRecorded,CloudTrail,CloudTrail,0.0163,
179,cropwise-databus-prod,5.69741E+11,us-east-2,202204,IADataAccess-Bytes,Elastic File System,Elastic File System,0.172021486,prod-ingestor
180,cropwise-databus-prod,5.69741E+11,ap-southeast-1,202202,Data Transfer - Internet (In),DynamoDB,Data Transfer,0,
181,cropwise-databus-prod,5.69741E+11,us-east-1,202210,PaidEventsRecorded,CloudTrail,CloudTrail,0.012,
182,cropwise-databus-prod,5.69741E+11,ap-northeast-2,202208,InsightsEvents,CloudTrail,CloudTrail,0.0028735,
183,cropwise-databus-prod,5.69741E+11,us-east-2,202304,TagStorage-TagHrs,S3,S3,178.2366647,prod-ingestor-sencrop
184,cropwise-databus-prod,5.69741E+11,us-east-2,202303,TagStorage-TagHrs,S3,S3,6.395914194,prod-ingestor-pessl
185,cropwise-databus-prod,5.69741E+11,us-east-1,202301,Requests,S3,S3,0.000665,
186,cropwise-databus-prod,5.69741E+11,us-east-2,202301,Compute,Lambda: All,Lambda: All,2.135451491,prod-cropwise-observations-v2
187,cropwise-databus-prod,5.69741E+11,us-east-2,202301,DataProcessing-Bytes,Elastic Load Balancer: All,Elastic Load Balancer: All,0.00044098,
188,cropwise-databus-prod,5.69741E+11,us-east-2,202301,CW:GMD-Metrics,CloudWatch,CloudWatch,0.8946,
189,cropwise-databus-prod,5.69741E+11,us-east-2,202301,TimedStorage-ByteHrs,CloudWatch,CloudWatch,0.00155194,prod-valet
190,cropwise-databus-prod,5.69741E+11,us-east-2,202303,Requests,Lambda: All,Lambda: All,9.80E-05,prod-scheduled-tasks
191,cropwise-databus-prod,5.69741E+11,ap-northeast-1,202208,PaidEventsRecorded,CloudTrail,CloudTrail,0.01672,
192,cropwise-databus-prod,5.69741E+11,us-east-2,202203,Compute,Lambda: All,Lambda: All,100.0787572,prod-ingestor-john-deere
193,cropwise-databus-prod,5.69741E+11,us-east-2,202209,DataProcessing-Bytes,CloudWatch,CloudWatch,0.001621929,prod-scheduled-tasks
194,cropwise-databus-prod,5.69741E+11,us-east-2,202206,Requests,S3,S3,4.26E-05,prod-ingestor-trapview
195,cropwise-databus-prod,5.69741E+11,eu-west-2,202207,InsightsEvents,CloudTrail,CloudTrail,0.002443,
196,cropwise-databus-prod,5.69741E+11,us-east-2,202212,TimedStorage-ByteHrs,CloudWatch,CloudWatch,0.000426461,prod-valet-observations
197,cropwise-databus-prod,5.69741E+11,us-east-2,202209,Compute,Lambda: All,Lambda: All,3.316046631,prod-scheduled-tasks
198,cropwise-databus-prod,5.69741E+11,sa-east-1,202301,FreeEventsRecorded,CloudTrail,CloudTrail,0,
199,cropwise-databus-prod,5.69741E+11,us-east-2,202301,Compute,Lambda: All,Lambda: All,3.677242354,prod-scheduled-tasks
200,cropwise-databus-prod,5.69741E+11,us-east-1,202301,Requests,S3,S3,8.80E-06,prod-ingestor-groguru
201,cropwise-databus-prod,5.69741E+11,us-east-2,202212,Data Transfer - Region to Region (Out),EC2: All,Data Transfer,0.201593633,
202,cropwise-databus-prod,5.69741E+11,us-east-2,202303,DeliveryAttempts-SQS,SNS: Notifications,SNS: Notifications,0,prod-ingestor
203,cropwise-databus-prod,5.69741E+11,us-east-2,202302,Requests-Tier1,SQS: Messaging,SQS: Messaging,18.6029864,prod-ingestor-sencrop
204,cropwise-databus-prod,5.69741E+11,us-east-2,202304,Requests-Tier1,SQS: Messaging,SQS: Messaging,0.7747012,prod-ingestor-cost-metering
205,cropwise-databus-prod,5.69741E+11,us-east-2,202304,Compute,Lambda: All,Lambda: All,0.055671049,prod-ingestor-clearag
206,cropwise-databus-prod,5.69741E+11,ap-northeast-1,202305,CW:Requests,CloudWatch,CloudWatch,0.0144,
207,cropwise-databus-prod,5.69741E+11,us-east-2,202304,Requests,Lambda: All,Lambda: All,0.166967,prod-valet-analytics
208,cropwise-databus-prod,5.69741E+11,sa-east-1,202304,FreeEventsRecorded,CloudTrail,CloudTrail,0,
209,cropwise-databus-prod,5.69741E+11,us-west-1,202304,FreeEventsRecorded,CloudTrail,CloudTrail,0,
210,cropwise-databus-prod,5.69741E+11,us-east-2,202305,Read Capacity Units,DynamoDB,DynamoDB,2.198562625,prod-valet
